7,0,"issue level Retrospective is missing,."
27,1,The way that you have to set individual permissions is cumbersome.
72,2,"Where JIRA shines is where you have some custom workflows and such you want to use, which can be a pain to maintain."
72,0,"Where JIRA shines is where you have some custom workflows and such you want to use, which can be a pain to maintain."
72,2,"The heavy customization can come with a maintenance burden, especially in a very large IT shop with multiple divisions, leaders, administrators, etc."
72,4,"The heavy customization can come with a maintenance burden, especially in a very large IT shop with multiple divisions, leaders, administrators, etc."
126,4,The configuration can make it hard to set up a project so you can see meaningful results and insights.
161,4,It's possible we don't have it configured properly to match our development process so this may be a human error sort of thing but an intuitive tool shouldn't take an expert to set up and figure out.
162,9,"It is very focused on agile development, which is great for development teams but for our company we have to use a different project management software for the other teams (marketing, sales etc...)."
163,5,I haven't found a suitable integration into our other tool which makes it a bit hard to jump between the two.
165,4,"Jira is a very robust tool and has lots of features and integrations, however, it's not very easy to set up and requires someone with expertise to get the team up and running."
177,2,Writing your own plugin isn't as easy as it can be.
178,4,Also installing them on OnDemand version a kind of tricky.
200,0,"The major issue I have with JIRA is a common one across this whole eco-system, which is the inability to share tickets across more than one assignee."
202,0,"At the very least, ""epic"" style issues should be able to be assigned to multiple people."
204,3,"The majority of the functionality is not there, and the overall view is buggy and hard to use."
219,3,"In the cloud version, it can become a little bit slow sometimes, and you can't select more than one item in the search result."
219,8,"In the cloud version, it can become a little bit slow sometimes, and you can't select more than one item in the search result."
220,8,"You still can run bulk operations for all the returned items, but can't select a few... just one."
221,6,Do not provide a mobile app.
223,5,"The Github integration is great, but it is not fully supported like Bitbucket."
224,2,"You can use smart commits, but can't create custom branches right from Jira's interface."
247,8,"The interface is a mere juxtaposition of features, it is completely filled with buttons and options you don't need all the time thus being extremely hard to find the ones you do want."
249,4,"Also, it has a huge learning and configuration curve, it takes a long time to understand/administrate the system and chances are that users end up experiencing traumatic heisenbugs."
264,8,"Even with a relatively longterm background with simple code and commands, many users (including myself) found it hard to intuitively navigate through the multitude of options available."
267,7,"One huge downside that I have realized is that when you work on a large scale program, the ALM Messaging alerts become annoying and then irrelevant."
268,7,"Many users have so many messages on a daily basis that they have completely stopped using this feature, which is very unfortunate, because if these problems were addressed, it would be very valuable."
285,9,"If you're not using an agile work flow, this is probably not the best solution, as you can imagine from the name."
301,9,Occasionally it can run a little slowly in the browser.
302,2,I'd love to be able to have template projects that automatically add tasks that are common to all projects.
321,0,I think a feature that I would like to addressed is the issue of duplication.
323,2,"I wish there was a feature of auto-fill facility , something which we have in Stackoverflow or Jira Query writer."
325,4,It is said that initial installation of JIRA is time-consuming and cumbersome.
341,8,Adding more people and more filters can be cumbersome at times and a few of the UI screens can get messy real quick depending on what you have displayed.
341,3,Adding more people and more filters can be cumbersome at times and a few of the UI screens can get messy real quick depending on what you have displayed.
341,1,Adding more people and more filters can be cumbersome at times and a few of the UI screens can get messy real quick depending on what you have displayed.
354,4,It can be glitchy and it takes a lot of work to set up initially.
376,0,The Agile board often crashes.
378,2,Custom fields have been a source of pain.
380,0,It is not uncommon for a new field to crop up in an existing project.
380,3,It is not uncommon for a new field to crop up in an existing project.
382,4,"I think this is largely just bad administration, but having done a bit of admin for the tool myself I can say it was not always intuitive."
384,7,Emails- way too many!
386,7,I want emails I just don't want too many.
411,8,Can be difficult to navigate between multiple linked bugs/stories without losing track of where you started and opening multiple browser tabs.
412,8,"When creating a new item, it can be easily lost if you don't navigate to it right away."
413,3,"May be based on organizational setup, but there fields that should allow a user entry if one of the drop down options does not apply."
413,2,"May be based on organizational setup, but there fields that should allow a user entry if one of the drop down options does not apply."
414,8,Searching can be difficult without specific training on how to use the tool.
441,3,"The overview page uses up wayyyyy too much space listed stories, and when you click on a story for an overview it uses a small vertical sliver to display the story."
443,3,So much screen space is used to show small story titles when it would be better to have more space for the expanded description and overview.
446,3,"Having each link open within the app is probably the most frustrating, god-awful thing about JIRA."
463,0,Sometimes it is a bit overwhelming when being ticketed by the product manager.
480,9," I think it lacks a proper desktop app, or at least a better web frontend."
480,3," I think it lacks a proper desktop app, or at least a better web frontend."
481,9,Sometimes using the web version it is just too slow.
483,0,"I haven't found a quick and clean way to create a user personal area, so I haven't been able for example to create a private ToDo list."
498,0,"My company has one of the largest instances of JIRA in the world, and at times it is very slow to use / hangs."
498,9,"My company has one of the largest instances of JIRA in the world, and at times it is very slow to use / hangs."
503,0,Batch operations on stories sometimes take a very long time to process.
