7,0,1,"issue level Retrospective is missing,."
72,0,1,"Where JIRA shines is where you have some custom workflows and such you want to use, which can be a pain to maintain."
163,5,6,I haven't found a suitable integration into our other tool which makes it a bit hard to jump between the two.
200,0,1,"The major issue I have with JIRA is a common one across this whole eco-system, which is the inability to share tickets across more than one assignee."
202,0,1,"At the very least, ""epic"" style issues should be able to be assigned to multiple people."
219,8,9,"In the cloud version, it can become a little bit slow sometimes, and you can't select more than one item in the search result."
220,8,9,"You still can run bulk operations for all the returned items, but can't select a few... just one."
221,6,7,Do not provide a mobile app.
223,5,6,"The Github integration is great, but it is not fully supported like Bitbucket."
247,8,9,"The interface is a mere juxtaposition of features, it is completely filled with buttons and options you don't need all the time thus being extremely hard to find the ones you do want."
264,8,9,"Even with a relatively longterm background with simple code and commands, many users (including myself) found it hard to intuitively navigate through the multitude of options available."
267,7,8,"One huge downside that I have realized is that when you work on a large scale program, the ALM Messaging alerts become annoying and then irrelevant."
268,7,8,"Many users have so many messages on a daily basis that they have completely stopped using this feature, which is very unfortunate, because if these problems were addressed, it would be very valuable."
321,0,1,I think a feature that I would like to addressed is the issue of duplication.
341,8,9,Adding more people and more filters can be cumbersome at times and a few of the UI screens can get messy real quick depending on what you have displayed.
376,0,1,The Agile board often crashes.
380,0,1,It is not uncommon for a new field to crop up in an existing project.
384,7,8,Emails- way too many!
386,7,8,I want emails I just don't want too many.
411,8,9,Can be difficult to navigate between multiple linked bugs/stories without losing track of where you started and opening multiple browser tabs.
412,8,9,"When creating a new item, it can be easily lost if you don't navigate to it right away."
414,8,9,Searching can be difficult without specific training on how to use the tool.
463,0,1,Sometimes it is a bit overwhelming when being ticketed by the product manager.
483,0,1,"I haven't found a quick and clean way to create a user personal area, so I haven't been able for example to create a private ToDo list."
498,0,1,"My company has one of the largest instances of JIRA in the world, and at times it is very slow to use / hangs."
503,0,1,Batch operations on stories sometimes take a very long time to process.
504,7,8,Email sent for every update made to every single story.
505,7,8,"This gets really, really annoying."
521,8,9,"Finding pages and navigating page trees can be confusing if you are not exactly sure where things are housed, it would be nice for the flow to be a little more logical to someone who is not experienced with using this type of platform."
547,0,1,I cannot assign a issue to multiple users.
548,0,1,We work with pair programming and it would be nice to see two assignees in the issue.
583,0,1,"While JIRA is great for task assignment and tracking in the context of Project Management, it doesn't allow you to work with tasks like you would a tool like Microsoft Project."
585,0,1,"You can setup linkages and dependencies, but because you can't view these things in a linear timeline or gantt chart, it's not great for the actual planning exercise."
585,5,6,"You can setup linkages and dependencies, but because you can't view these things in a linear timeline or gantt chart, it's not great for the actual planning exercise."
660,0,1,"comments are not always sorted correctly (not sure if this is because of a configuration or it's a bug) - on some stories, the first one is the latest (a bit confusing), on other stories the first one is the oldest."
678,5,6,"However, there is a disconnect with integrating these processes and as a result, either I (or UX) need to copy+paste screenshots into JIRA, or link back to the Invision project (outside of JIRA)."
693,0,1,Can be confusing for more of its advanced features like setting up tasks for multiple people or for things ahead of time.
694,0,1,Also moving things from backlog to in progress has changed to a less intuitive way.
707,5,6,JIRA still lacks some important ways of data visualization.
708,5,6,"Sometimes it's hard to represent all data points of the lifecycle in the same instance of JIRA, especially when it needs to be done ""yesterday"" or ""abruptly""."
721,6,7,"It's not very responsive, impossible to use on my phone, but that is not a dealbreaker at all!"
734,0,1,Sometimes the workflow management for issues becomes cumbersome.
778,0,1,We need more refined ways for users to see where their projects are in our backlog without having the ability to see everything in the backlog.
783,0,1,"We needed a tool to manage our backlog and agile boards, and Jira meets those needs, but as we have more teams adopt agile our Jira account and permissions get more and more cumbersome to navigate."
789,0,1,"It is easy to set up, a bit complicated on the administration but a bit troublesome on the performance side if you really start to create scores of projects on it with large backlogs throughout.; Performance was not the best, especially when the backlog was large and there were lots of projects loaded into our instance."
790,0,1,We even had to figure out ways to get around having to refresh the backlog page during story elaboration sessions as it was taking so long in some cases.
791,5,6,Also used it for time reporting and it wasn't that straightforward.
792,0,1,Entering time shouldn't be as complicated as they make it and changing things you have already entered is not intuitive at all (borderline frustrating in fact).
806,8,9,I can NEVER find anything I'm searching for.
808,8,9,"I try to search by tickets that I've originated, but that never yields anything."
809,8,9,"Or I search by the person who it's been assigned to, but that doesn't work either."
810,0,1,I wish there more real-time updating because colleagues are always editing my tickets and we're always tripping over each other and losing what we've typed.
811,8,9,"Some of the navigation is a little clunky like when you have that preview mode to see a list of your tickets and then a column to the right that has more information about the ticket, but I kind of wish that when you clicked the ticket number, it opened in a new tab so you could still reference your list of tickets."
828,0,1,"I have been working in multiple projects in my organization, sometime I find it difficult to switch between sprints or stories of different project."
828,8,9,"I have been working in multiple projects in my organization, sometime I find it difficult to switch between sprints or stories of different project."
829,8,9,Basically I found it difficult to search if I do not have a story id.
841,0,1,"It feels old, it's slow sometimes, need to be more simpler in some aspects for example the KANBAN Board could be simpler, like Trello."
854,8,9,Sometimes it is hard to use the search feature to find a case that you are looking for particularly if you have many cases that contain the same key words.
856,8,9,Additional search features would be nice!
858,8,9,"Once you perform a search you can sort by date or reporter or status even, but being able to narrow it down in advance would be ideal."
906,5,6,"Also we used to host JIRA/Confluence on the same server that we had for a few other apps, and the processes for these two software were so heavy that would render the server useless for other software, on a quad-core machine."
933,7,8,The email notification in JIRA are the WORST!
936,7,8,I wish there was a better way to manage notifications within my bugs.
952,0,1,It is possible to jump and setup a new project in such as way that it will be difficult to maintain.
972,0,1,Sorting sprints and backlogs by users assigned is an obvious miss.
973,0,1,It is very difficult to manage dependencies.
974,0,1,"While everything else in this product is verbose in its capabilities, the dependency visualization is absent and you have to view each ticket's details to be able to see them."
989,8,9,Searching for an existing ticket can be quite difficult at times.
990,8,9,"Often, using a simple search does not yield the ticket I am looking for and I have to ask someone to give me the exact ticket code instead."
1036,0,1," Sometimes you find yourself stuck in a weird state in a product - Issues not showing up on the board, Issues not transitioning to the desired status, fields being unavailable, permissions Issues etc."
1039,7,8, Terrible notification system.
1041,7,8,JIRA doesn't batch notifications in any way.
1064,0,1,It would also be nice to tie various project areas together for version control as a lot of the stuff is pushed out in one go.
1080,0,1,It can be very difficult to find the right category for your ticket.
1080,8,9,It can be very difficult to find the right category for your ticket.
1081,0,1,It is also difficult to find the right group/person to send it to.
1081,8,9,It is also difficult to find the right group/person to send it to.
1082,0,1,Setting up dashboards is cumbersome and challenging.
1083,8,9,I have a hard time finding the status of issues if it isn't emailed to me.
1098,0,1,"On occasion a button placement is clunky, and it is difficult to compare story measurements for sprint-over-sprint comparisons."
1099,0,1,Cloning options are limited.
1128,0,1,- Agile board doesn't have an ability to move multiple tickets to the next column at once.; - Agile board scrolls somewhere to the middle of the window if there are a lot of tickets in one column.
1129,0,1,Drag-n-drop simply doesn't work there for more than one ticket.
1132,0,1, a bit hard to understand how to use workflow schemas.
1136,8,9, admin area in general is a bit hard to navigate and customise - it could be simpler.
1155,0,1,"2. Roles, privileges, screens etc can be rather confusing if you have a good number of projects."
1176,0,1,If any one is facing problem on solving issue and it might not be completed in time then there is no discussion with scrum master or team members.
