1,What do you like best?,0
2,"Support for different boards like Agile Board, Scrum Board and Kanban Board.",0
3,User management is really good with the given permission checker system using rest webservices calls.,0
4,"Defined its own Query language known as JQL, using which I can fetc data based on my specific requirement like specific issues with assigned and reported criteria for a project.",0
5,"Authentication access model is based on Basic Authentication model, Session based model, and OAuth model.",0
6,What do you dislike?,0
7,"issue level Retrospective is missing,.",1
8,If there would be any resolution approach then it would be a taking point for scrum master for next sprint or release.,0
9,Recommendations to others considering the product.,0
10,Everything was given generic to maximum extent and can be customized to based on user requirement.,0
11,"Creating sprints and releases are very easy under a project, we can have specific status and flow for the issues created.",0
12,"we can create and save filters for a specific criteria, no need to do a search with same set of criteria again and again.",0
13,Provides workflow management system for a project.,0
14,What business problems are you solving?,0
15,What benefits have you realized?,0
16,"Implementing retrospective at in-sprint level , sprint level and project level.",0
17,Supporting resolution approach through our android mobile app which is not yet live.,0
18,Taking confidence on a task item or issue based on users concern for quick response or support from concern person.,0
19,JIRA has hipchat but we are planning to get collaborative environment with external collaborative environment integration.,0
20,What do you like best?,0
21,I think that they originally thought Jira as an issue tracker but it grew beyond it to become a great tool to manage projects.,0
22,"The addition of products such as Jira Agile brought the product to the new methodologies, along with Confluence, it is a very powerful option to manage the project lifecycle.",0
23,"The permission model is a bit complicate to learn at first, but once you get it right, it's very powerful.",0
24,"The same goes for almost everything is Jira, everything can be extended, via configuration, development or plugins acquisition.",0
25,The marketplace is full of applications that extend the features of the system.,0
26,What do you dislike?,0
27,The way that you have to set individual permissions is cumbersome.,1
28,They use to have other option that allowed bulk assignments but changed it.,0
29,"The pricing model seems complicate at first, but it's mostly due to the lack of info that you can get directly from Jira sales reps, at least that was my case, and it made me go to another product, Samanage, for Service Desk.",0
30,"What I don't like about the licensing model is that everything is managed by Jira, so if you buy a plugin in the marketplace, you always tie the licenses to the Jira licenses.",0
31,"e.g. Tempo Planner is a plugin to do, among other things, capacity planning.",0
32,"You won't expect to have too many people there doing the planning, at least not as much as your Jira license base.",0
33,You end up paying for every Jira LIcense you have.,0
34,"So if you have 2 planners and 100 developers, you end up paying for 102 licenses for the plugin.",0
35,Recommendations to others considering the product.,0
36,The risk is low to start with it if you go for the Cloud version.,0
37,The licensing model allows you to start small and grow as you need.,0
38,What business problems are you solving?,0
39,What benefits have you realized?,0
40,"We are solving the problem to manage almost the entire project lifecycle and some support processes: project planning, Scrum, Kanban, issue tracking, time tracking, capacity planning (using plugins), documentation.",0
41,"The benefits that we have are many, from which I can mention that you have a centralized document repository per project (using Confluence) and a way to manage the different types of client engagements we have: Fixed Bids Projects, Scrum, Kanban.",0
42,What do you like best?,0
43,Web-based tool could be learnt with ease.,0
44,"Multiple projects, each project could have different workflows.",0
45,Best suited for agile scrum and kanban teams.,0
46,"Create issues in projects as requirements, track the issues through the workflow, raise bugs assign to the issues(requirements) and track till closure.",0
47,Link issues and bugs.,0
48,Measure the velocity of the work done by the team.,0
49,"Assign issues, bugs to team members.",0
50,Create dashboard to get a view of the project status.,0
51,"Create scrum board/kanban boards, create backlog of issues, assign issues from backlog to the sprints and track the issues till resolved in the sprint cycles.",0
52,Customizable fields as per user requirements.,0
53,"Could be used in conjunction with HP ALM, Confluence and many other thrid party plugins.",0
54,What do you dislike?,0
55,This is a fantastic tool and I would recommend all agile project teams to use it.,0
56,There is a good support available from the Atlassian who manages this tool.,0
57,"If you recommend any new updates to tool, depending on how many user want it, Atlassian could implement it.",0
58,Recommendations to others considering the product.,0
59,JIRA could support a large user group.,0
60,If your are working in Agile methodology or in any other methodology JIRA has the provision to support these project requirements.,0
61,The training required to use JIRA is also readily available and you can get going within a few days.,0
62,What business problems are you solving?,0
63,What benefits have you realized?,0
64,"We need a tool to track 100s of high level requirements, break it down into smaller chunks - user stories and assign it to each team member to work on the user stories.",0
65,Essentially this tool has helped in task breakdown for the team and everyone in the team knows what to work on.,0
66,What do you like best?,0
67,JIRA is a great solution for tracking issues against multiple different projects.,0
68,"It has good integrations, custom workflows, and can function well for internal and external use.",0
69,"For an external issue tracker on a closed source project, this is a really great tool to allow 3rd party developers to submit, track, and vote on any bugs or feature requests they are interested in.",0
70,What do you dislike?,0
